date,country,election,status
"Oct. 15, 2010",Czech Republic,Election for Sénat (Congolese Senate),Held
"Oct. 15, 2010",Czech Republic,Election for Senát (Czech Senate),Held
"Oct. 10, 2010",Kyrgyz Republic,Election for Jorgorku Kenesh (Kyrgyz Supreme Council),Held
"Oct. 3, 2010",Federative Republic of Brazil,Election for President,Held
"Oct. 3, 2010",Federative Republic of Brazil,Election for Senado Federal (Brazilian Federal Senate),Held
"Oct. 3, 2010",Bosnia and Herzegovina,Election for Chairman of the Presidency (Chairman of the Presidency),Held
"Oct. 3, 2010",Federative Republic of Brazil,Election for Camara dos Deputados (Brazilian Chamber of Deputies),Held
"Oct. 3, 2010",Bosnia and Herzegovina,Election for Predstavnicki Dom (Bosnia and Herzegovina House of Representatives),Held
"Oct. 2, 2010",Republic of Latvia,Election for Saeima (Latvian Parliament),Held
"Sept. 26, 2010",Bolivarian Republic of Venezuela,Election for Asamblea Nacional (Venezuelan National Assembly),Held
"Sept. 19, 2010",Kingdom of Sweden,Election for Riksdag (Swedish Parliament),Held
"Sept. 18, 2010",Islamic Republic of Afghanistan,Election for Wolesi Jirga (Afghani House of People),Held
"Sept. 18, 2010",Slovak Republic,Referendum,Held
"Sept. 16, 2010",Tuvalu,Election for Fale I Fono (Tuvaluan House of Assembly ),Held
"Sept. 12, 2010",Republic of Turkey,Referendum,Held
"Sept. 5, 2010",Republic of Moldova,Referendum,Held
"Aug. 21, 2010",Commonwealth of Australia,Election for Australian Senate,Held
"Aug. 21, 2010",Commonwealth of Australia,Election for Australian House of Representatives,Held
"Aug. 9, 2010",Republic of Rwanda,Election for President,Held
"Aug. 4, 2010",Solomon Islands,Election for Solomon Islander National Parliament,Held
"Aug. 4, 2010",Republic of Kenya,Referendum,Held
"Aug. 1, 2010",Democratic Republic of Sao Tome and Principe,Election for Assembleia Nacional (Sao Tomean National Assembly),Held
"July 26, 2010",Republic of Burundi,Election for President,Held
"July 23, 2010",Republic of Burundi,Election for Assemblee National (Burundian National Assembly),Held
"July 19, 2010",Republic of Suriname,Election for President,Held
"July 11, 2010",Japan,Election for Sangiin (Japanese House of Councillors),Held
"July 7, 2010",Hungary,Election for President,Held
"July 4, 2010",Republic of Poland,Election for President,Snap
"June 30, 2010",Federal Republic of Germany,Election for Federal President (Federal President),Held
"June 27, 2010",Kyrgyz Republic,Referendum,Held
"June 27, 2010",Republic of Guinea,Election for President,Held
"June 20, 2010",Republic of Colombia,Election for President,Held
"June 20, 2010",Republic of Poland,Election for President,Snap
"June 19, 2010",Republic of Nauru,Election for Nauruan Parliament,Held
"June 13, 2010",Kingdom of Belgium,Election for Volksvertegenwoordigers / Chambre des Representants (Belgian Chamber of Representatives),Snap
"June 13, 2010",Kingdom of Belgium,Election for Senaat / Senat (Belgian Senate),Snap
"June 12, 2010",Slovak Republic,Election for Národná rada (Slovak National Council),Held
"June 9, 2010",Kingdom of the Netherlands,Election for Tweede Kamer (Dutch Second Chamber),Snap
"June 8, 2010",Arab Republic of Egypt,Election for Majlis Al-Sha'b (Egyptian People's Assembly),Held
"June 6, 2010",Republic of Slovenia,Referendum,Held
"June 1, 2010",Arab Republic of Egypt,Election for Majlis Al-Sha'b (Egyptian People's Assembly),Held
"May 30, 2010",Republic of Colombia,Election for President,Held
"May 28, 2010",Czech Republic,Election for Poslanecká Sněmovna (Czech Chamber of Deputies),Held
"May 25, 2010",Republic of Suriname,Election for Nationale Assemblée (Surinamese National Assembly),Held
"May 24, 2010",Republic of Trinidad and Tobago,Election for Trinidadian House of Representatives,Held
"May 23, 2010",Federal Democratic Republic of Ethiopia,Election for Yehizb Tewokayoch Mekir Bete (Ethiopian House of People's Representatives),Held
"May 16, 2010",Dominican Republic,Election for Camara de Diputados (Dominican Chamber of Deputies),Held
"May 16, 2010",Dominican Republic,Election for Senado (Dominican Senate),Held
"May 10, 2010",Republic of the Philippines,Election for Senado (Philippine Senate),Held
"May 10, 2010",Republic of the Philippines,Election for Kapulungan Ng Mga Kinatawan (Philippine House of Representatives),Held
"May 10, 2010",Republic of the Philippines,Election for President,Held
"May 6, 2010",United Kingdom of Great Britain and Northern Ireland,Election for British House of Commons,Held
"May 5, 2010",Republic of Mauritius,Election for Assemblée Nationale (Mauritian National Assembly),Held
"April 25, 2010",Hungary,Election for Országgyűlés (Hungarian National Assembly),Held
"April 25, 2010",Republic of Austria,Election for President,Held
"April 24, 2010",Republic of Nauru,Election for Nauruan Parliament,Snap
"April 18, 2010",Turkish Republic of Northern Cyprus (TRNC),Election for President,Held
"April 11, 2010",Republic of the Sudan,Election for President,Held
"April 11, 2010",Republic of the Sudan,Election for Majlis Watani (Sudanese National Assembly),Held
"April 11, 2010",Hungary,Election for Országgyűlés (Hungarian National Assembly),Held
"April 11, 2010",Republic of the Sudan,Election for Majlis Welayat (Sudanese Council of States),Held
"April 8, 2010",Democratic Socialist Republic of Sri Lanka,Election for Sri Lankan Parliament,Snap
"March 14, 2010",Republic of Colombia,Election for Camara de Representantes (Colombian House of Representatives),Held
"March 14, 2010",Republic of Colombia,Election for Senado (Colombian Senate),Held
"March 7, 2010",Swiss Confederation,Referendum,Held
"March 7, 2010",Republic of Iraq,Election for Majlis an-Nuwwab al-`Iraqiyy (Iraqi Council of Representatives),Held
"March 6, 2010",Republic of Iceland,Referendum,Held
"March 4, 2010",Togolese Republic,Election for President,Held
"Feb. 28, 2010",Republic of Tajikistan,Election for Majlisi Namoyandagon (Tajikistan Assembly of Representatives),Held
"Feb. 27, 2010",Republic of Nauru,Referendum,Held
"Feb. 15, 2010",Anguilla,Election for Anguillian House of Assembly,Held
"Feb. 7, 2010",Ukraine,Election for President,Held
"Feb. 7, 2010",Republic of Costa Rica,Election for President,Held
"Feb. 7, 2010",Republic of Costa Rica,Election for Asamblea Legislativa (Costa Rican Legislative Assembly),Held
"Feb. 3, 2010",Hellenic Republic,Election for President,Held
"Jan. 26, 2010",Democratic Socialist Republic of Sri Lanka,Election for President,Held
"Jan. 25, 2010",Federation of Saint Kitts and Nevis,Election for Kittitian and Nevisian National Assembly,Held
"Jan. 20, 2010",Republic of Uzbekistan,Election for Senat (Uzbekistani Senate),Held
"Jan. 17, 2010",Ukraine,Election for President,Held
"Jan. 17, 2010",Republic of Chile,Election for President,Held
"Jan. 10, 2010",Republic of Croatia,Election for President,Held
"Jan. 9, 2010",Republic of China,Election for Taiwanese Legislative Yuan,Held
"Dec. 27, 2009",Republic of Croatia,Election for President,Held
"Dec. 27, 2009",Republic of Uzbekistan,Election for Qonunchilik palatasi (Uzbekistani Legislative Chamber),Held
"Dec. 13, 2009",Republic of Chile,Election for Camara de Diputados (Chilean Chamber of Deputies),Held
"Dec. 13, 2009",Republic of Chile,Election for Senado (Chilean Senate),Held
"Dec. 13, 2009",Republic of Chile,Election for President,Held
"Dec. 7, 2009",Republic of Moldova,Election for President,Held
"Dec. 6, 2009",Romania,Election for President,Held
"Dec. 6, 2009",Plurinational State of Bolivia,Election for Camara de Senadores (Bolivian Chamber of Senators),Held
"Dec. 6, 2009",Plurinational State of Bolivia,Election for President,Held
"Dec. 6, 2009",Plurinational State of Bolivia,Election for Camara de Diputados (Bolivian Chamber of Deputies),Held
"Nov. 29, 2009",Oriental Republic of Uruguay,Referendum,Held
"Nov. 29, 2009",Oriental Republic of Uruguay,Election for President,Held
"Nov. 29, 2009",Swiss Confederation,Referendum,Held
"Nov. 29, 2009",Republic of Honduras,Election for Congreso Nacional (Honduran National Congress),Held
"Nov. 29, 2009",Republic of Equatorial Guinea,Election for President,Held
"Nov. 29, 2009",Republic of Honduras,Election for President,Held
"Nov. 27, 2009",Republic of Namibia,Election for Namibian National Assembly,Held
"Nov. 27, 2009",Republic of Namibia,Election for President,Held
"Nov. 27, 2009",Republic of Namibia,Election for Namibian National Council,Held
"Nov. 22, 2009",Romania,Referendum,Held
"Nov. 22, 2009",Romania,Election for President,Held
"Nov. 10, 2009",Republic of Moldova,Election for President,Held
"Oct. 28, 2009",Republic of Mozambique,Election for Assembleia da República (Mozambican Assembly ),Held
"Oct. 28, 2009",Republic of Mozambique,Election for President,Held
"Oct. 25, 2009",Oriental Republic of Uruguay,Election for Cámara de Representantes (Uruguayan Chamber of Representatives),Held
"Oct. 25, 2009",Tunisian Republic,Election for President,Held
"Oct. 25, 2009",Oriental Republic of Uruguay,Election for President,Held
"Oct. 25, 2009",Oriental Republic of Uruguay,Election for Cámara de Senadores (Uruguayan Chamber of Senators),Held
"Oct. 20, 2009",Republic of Niger,Election for Assemblée Nationale (Nigerien National Assembly),Held
"Oct. 16, 2009",Republic of Bostwana,Election for Botswana National Assembly,Held
"Oct. 4, 2009",Hellenic Republic,Election for Vouli ton Ellinon (Greek Parliament),Held
"Oct. 2, 2009",Ireland,Referendum,Held
"Sept. 27, 2009",Swiss Confederation,Referendum,Held
"Sept. 27, 2009",Portuguese Republic,Election for Assembleia da República (Portuguese Assembly of the Republic),Held
"Sept. 27, 2009",Federal Republic of Germany,Election for Bundestag (German Federal Diet),Held
"Sept. 25, 2009",Aruba,Election for Staten (Aruban Legislature),Held
"Sept. 20, 2009",Macau Special Administrative Region,Election for Região Administrativa Especial de Macau (Chinese Legislative Council (Macau)),Held
"Sept. 14, 2009",Kingdom of Norway,Election for Storting (Norwegian Parliament),Held
"Sept. 1, 2009",Republic of Vanuatu,Election for President,Held
"Aug. 30, 2009",Japan,Election for Shugiin (Japanese House of Representatives),Held
"Aug. 30, 2009",Gabonese Republic,Election for President,Held
"Aug. 28, 2009",Republic of Moldova,Election for President,Held
"Aug. 25, 2009",New Zealand,Referendum,Held
"Aug. 20, 2009",Islamic Republic of Afghanistan,Election for President,Held
"Aug. 4, 2009",Republic of Niger,Referendum,Held
"July 29, 2009",Republic of Moldova,Election for Parlament (Moldovan Parliament),Held
"July 26, 2009",Republic of Guinea-Bissau,Election for President,Held
"July 23, 2009",Kyrgyz Republic,Election for President,Held
"July 18, 2009",Islamic Republic of Mauritania,Election for President,Held
"July 12, 2009",Republic of the Congo,Election for President,Held
"July 8, 2009",Republic of Indonesia,Election for President,Held
"July 5, 2009",United Mexican States,Election for Camara de Diputados (Mexican Chamber of Deputies),Held
"July 5, 2009",Republic of Bulgaria,Election for Narodno Sabranie (Bulgarian National Assembly),Held
"June 28, 2009",Republic of Albania,Election for Kuvendi i Shqipërisë (Parliament of Albania),Held
"June 28, 2009",Argentine Republic,Election for Senado (Argentinian Senate),Held
"June 28, 2009",Argentine Republic,Election for Cámara de Diputados (Argentinian Chamber of Deputies),Held
"June 28, 2009",Republic of Guinea-Bissau,Election for President,Held
"June 21, 2009",Italian Republic,Referendum,Held
"June 12, 2009",Islamic Republic of Iran,Election for President,Held
"June 10, 2009",European Union,Election for European Parliament,Held
"June 7, 2009",Grand Duchy of Luxembourg,Election for Chambre des Députés (Luxembourg Chamber of Deputies),Held
"June 7, 2009",Kingdom of Denmark,Referendum,Held
"June 3, 2009",Republic of Moldova,Election for President,Held
"June 2, 2009",Greenland,Election for Kalaallit Nunaanni Inatsisartut (Greenland Diet),Held
"May 24, 2009",Mongolia,Election for President,Held
"May 23, 2009",Federal Republic of Germany,Election for Federal President (Federal President),Held
"May 20, 2009",Republic of Moldova,Election for President,Held
"May 19, 2009",Republic of Malawi,Election for President,Held
"May 19, 2009",Republic of Malawi,Election for Malawian National Assembly,Held
"May 17, 2009",Union of the Comoros,Referendum,Held
"May 17, 2009",Swiss Confederation,Referendum,Held
"May 17, 2009",Republic of Lithuania,Election for President,Held
"May 16, 2009",State of Kuwait,Election for Majlis al-Umma (Kuwaiti National Assembly),Held
"May 13, 2009",Republic of India,Election for Lok Sabha (Indian People's Assembly),Held
"May 9, 2009",Republic of Maldives,Election for Majlis (Maldivian People's Council),Held
"May 7, 2009",Republic of India,Election for Lok Sabha (Indian People's Assembly),Held
"May 3, 2009",Republic of Panama,Election for Asamblea Nacional (Panamanian National Assembly),Held
"May 3, 2009",Republic of Panama,Election for President,Held
"April 30, 2009",Republic of India,Election for Lok Sabha (Indian People's Assembly),Held
"April 26, 2009",Republic of Ecuador,Election for Congreso Nacional (Ecuadorian National Congress),Held
"April 26, 2009",Republic of Ecuador,Election for President,Held
"April 26, 2009",Principality of Andorra,Election for Consell General d'Andorra (Andorran General Council),Held
"April 25, 2009",Republic of Iceland,Election for Althing (Icelandic Parliament),Held
"April 23, 2009",Republic of India,Election for Lok Sabha (Indian People's Assembly),Held
"April 22, 2009",Republic of South Africa,Election for South African National Assembly,Held
"April 19, 2009",Turkish Republic of Northern Cyprus (TRNC),Election for Cumhuriyet Meclisi (Northern Cyprus Assembly of the Republic),Held
"April 16, 2009",Republic of India,Election for Lok Sabha (Indian People's Assembly),Held
"April 9, 2009",People's Democratic Republic of Algeria,Election for President,Held
"April 9, 2009",Republic of Indonesia,Election for Dewan Perwakilan Daerah (Indonesian Regional Representative Council),Held
"April 9, 2009",Republic of Indonesia,Election for Dewan Perwakilan Rakyat (Indonesian House of Representatives),Held
"April 5, 2009",Republic of North Macedonia,Election for President,Held
"April 5, 2009",Republic of Moldova,Election for Parlament (Moldovan Parliament),Held
"April 4, 2009",Slovak Republic,Election for President,Held
"March 29, 2009",Montenegro,Election for Skupstina (Montenegrin Assembly),Held
"March 22, 2009",Republic of North Macedonia,Election for President,Held
"March 21, 2009",Slovak Republic,Election for President,Held
"March 18, 2009",Republic of Azerbaijan,Referendum,Held
"March 15, 2009",Republic of El Salvador,Election for President,Held
"March 12, 2009",Antigua and Barbuda,Election for Antiguan and Barbudan House of Representatives,Held
"March 10, 2009",Federated States Of Micronesia,Election for Congress of the Federated States of Micronesia,Held
"March 1, 2009",Basque Country,Election for Eusko Legebiltzarra (Basque Parliament),Held
"March 1, 2009",Autonomous Community of Galicia,Election for Parlamento de Galicia (Parliament of Galicia),Held
"Feb. 15, 2009",Bolivarian Republic of Venezuela,Referendum,Held
"Feb. 10, 2009",State of Israel,Election for Knesset (Israeli Knesset),Held
"Feb. 8, 2009",Swiss Confederation,Referendum,Held
"Feb. 8, 2009",Principality of Liechtenstein,Election for Landtag (Liechtenstein Parliament),Held
"Jan. 25, 2009",Plurinational State of Bolivia,Referendum,Held
"Jan. 18, 2009",Republic of El Salvador,Election for Asamblea Legislativa (Salvadorian Legislative Assembly),Held
"Dec. 29, 2008",People's Republic of Bangladesh,Election for Jatiya Sangsad (Bangladeshi National Parliament),Held
"Dec. 28, 2008",Republic of Ghana,Election for President,Held
"Dec. 14, 2008",Turkmenistan,Election for Mejlis (Turkmen National Assembly),Held
"Dec. 7, 2008",Republic of Ghana,Election for Ghanaian Parliament,Held
"Dec. 7, 2008",Republic of Ghana,Election for President,Held
"Nov. 30, 2008",Romania,Election for Senat (Romanian Senate),Held
"Nov. 30, 2008",Romania,Election for Camera Deputaţilor (Romanian Chamber of Deputies),Held
"Nov. 16, 2008",Republic of Guinea-Bissau,Election for Assembleia Nacional Popular (Bissau-Guinean People's National Assembly),Held
"Nov. 8, 2008",New Zealand,Election for New Zealand House of Representatives,Held
"Nov. 4, 2008",Commonwealth of Puerto Rico,Election for Cámara de Representantes (Puerto Rican House of Representatives),Held
"Nov. 4, 2008",Republic of Palau,Election for President,Held
"Nov. 4, 2008",Republic of Palau,Election for Palauan Senate,Held
"Nov. 4, 2008",United States of America,Election for US Senate,Held
"Nov. 4, 2008",Commonwealth of Puerto Rico,Election for Senado (Puerto Rican Senate),Held
"Nov. 4, 2008",Republic of Palau,Election for Palauan House of Delegates,Held
"Nov. 4, 2008",United States of America,Election for US House of Representatives,Held
"Nov. 4, 2008",United States of America,Election for President,Held
"Oct. 30, 2008",Republic of Zambia,Election for President,Held
"Oct. 29, 2008",Republic of Maldives,Election for President,Held
"Oct. 17, 2008",Czech Republic,Election for Senát (Czech Senate),Held
"Oct. 17, 2008",Czech Republic,Election for Senát (Czech Senate),Held
"Oct. 15, 2008",Republic of Azerbaijan,Election for President,Held
"Oct. 14, 2008",Canada,Election for Chambre des Communes (Canadian House of Commons),Held
"Oct. 12, 2008",Republic of Lithuania,Election for Seimas (Lithuanian Parliament),Held
"Oct. 8, 2008",Republic of Maldives,Election for President,Held
"Sept. 28, 2008",Republic of Austria,Election for Nationalrat (Austrian National Council),Held
"Sept. 28, 2008",Republic of Belarus,Election for Palata Predstaviteley (Belarusian Chamber of Representatives),Held
"Sept. 28, 2008",Republic of Ecuador,Referendum,Held
"Sept. 21, 2008",Republic of Slovenia,Election for Državni Zbor (Slovenian National Assembly),Held
"Sept. 15, 2008",Republic of Rwanda,Election for Chambre des Députés (Rwandan Chamber of Deputies),Held
"Sept. 7, 2008",Hong Kong Special Administrative Region,Election for Hong Kong Legislative Council,Held
"Sept. 5, 2008",Republic of Angola,Election for Assembleia Nacional (Angolan National Assembly),Held
"Aug. 10, 2008",Plurinational State of Bolivia,Referendum,Held
"July 27, 2008",Kingdom of Cambodia,Election for Radhsphea Ney Preah Recheanachakr Kampuchea (Cambodian National Assembly),Held
"July 8, 2008",Grenada,Election for Grenadian House of Representatives,Held
"June 29, 2008",Mongolia,Election for Ulsyn Ikh Khural (Mongolian State Great Hural),Held
"June 28, 2008",Republic of Iceland,Election for President,Held
"June 27, 2008",Republic of Zimbabwe,Election for President,Held
"June 12, 2008",Ireland,Referendum,Held
"June 1, 2008",Republic of North Macedonia,Election for Sobranie (North Macedonian Assembly ),Held
"May 25, 2008",Lebanese Republic,Election for President,Held
"May 21, 2008",Georgia,Election for Sakartvelos Parlamenti (Georgian Parliament),Held
"May 17, 2008",State of Kuwait,Election for Majlis al-Umma (Kuwaiti National Assembly),Held
"May 16, 2008",Dominican Republic,Election for President,Held
"May 11, 2008",Republic of Serbia,Election for Narodna skupština (Serbian National Assembly),Held
"May 10, 2008",Union of Myanmar,Referendum,Held
"April 26, 2008",Republic of Nauru,Election for Nauruan Parliament,Held
"April 25, 2008",Islamic Republic of Iran,Election for Majles-e-Shura-ye-Eslami (Iranian Islamic Consultative Assembly),Held
"April 24, 2008",Kingdom of Tonga,Election for Fale Alea (Tongan Legislative Assembly),Held
"April 20, 2008",Republic of Paraguay,Election for Camara de Senadores (Paraguayan Chamber of Senators),Held
"April 20, 2008",Republic of Paraguay,Election for President,Held
"April 20, 2008",Republic of Paraguay,Election for Camara de Diputados (Paraguayan Chamber of Deputies),Held
"April 13, 2008",Italian Republic,Election for Camera dei Deputati (Italian Chamber of Deputies),Held
"April 13, 2008",Italian Republic,Election for Senato della Repubblica (Itialian Senate),Held
"April 10, 2008",Federal Democratic Republic of Nepal,Election for Sambidhan Sabha (Nepali Constituent Assembly),Held
"April 9, 2008",Republic of Korea,Election for Kukhoe (South Korean National Assembly),Held
"April 6, 2008",Montenegro,Election for President,Held
"March 29, 2008",Republic of Zimbabwe,Election for Zimbabwean National Assembly,Held
"March 29, 2008",Republic of Zimbabwe,Election for President,Held
"March 29, 2008",Republic of Zimbabwe,Election for Zimbabwean Senate,Held
"March 24, 2008",Kingdom of Bhutan,Election for Gyelyong Tshogdu (Bhutanese National Assembly),Held
"March 22, 2008",Republic of China,Election for President,Held
"March 22, 2008",Republic of China,Referendum,Held
"March 14, 2008",Islamic Republic of Iran,Election for Majles-e-Shura-ye-Eslami (Iranian Islamic Consultative Assembly),Held
"March 9, 2008",Autonomous Community of Andalusia,Election for Parlamento de Andalucia (Andalusian Parliament),Held
"March 9, 2008",Kingdom of Spain,Election for Senado (Spanish Senate),Held
"March 9, 2008",Kingdom of Spain,Election for Congreso de los Diputados (Spanish Congress of Deputies),Held
"March 8, 2008",Republic of Malta,Election for Il-Kamra Tad-Deputati (Maltese House of Representatives),Held
"March 8, 2008",Malaysia,Election for Dewan Rakyat (Malaysian House of Representatives),Held
"March 2, 2008",Russian Federation,Election for President,Held
"March 2, 2008",Kingdom of Thailand,Election for Wuthisapha (Thai Senate),Held
"March 2, 2008",Kingdom of Thailand,Election for Sapha Phuthaen Ratsadon (Thai House of Representatives),Held
"Feb. 24, 2008",Republic of Cyprus,Election for President,Held
"Feb. 19, 2008",Republic of Armenia,Election for President,Held
"Feb. 18, 2008",Islamic Republic of Pakistan,Election for Qaumī Asimbli'e Pākistān (Pakistani National Assembly),Held
"Feb. 17, 2008",Republic of Cyprus,Election for President,Held
"Feb. 15, 2008",Czech Republic,Election for President,Held
"Feb. 11, 2008",Republic of Trinidad and Tobago,Election for President,Held
"Feb. 8, 2008",Republic of Djibouti,Election for Assemblée nationale (Djiboutian National Assembly),Held
"Feb. 8, 2008",Czech Republic,Election for President,Held
"Feb. 7, 2008",Belize,Election for Belizean House of Representatives,Held
"Feb. 3, 2008",Republic of Serbia,Election for President,Held
"Jan. 20, 2008",Republic of Serbia,Election for President,Held
"Jan. 19, 2008",Faroe Islands,Election for Løgting (Faroese Parliament),Held
"Jan. 15, 2008",Barbados,Election for Barbadian House of Assembly,Held
"Jan. 12, 2008",Republic of China,Election for Taiwanese Legislative Yuan,Held
"Jan. 5, 2008",Georgia,Election for President,Held
"Dec. 31, 2007",Kingdom of Bhutan,Election for Gyelyong Tshogde (Bhutanese National Council),Held
"Dec. 27, 2007",Republic of Kenya,Election for President,Held
"Dec. 23, 2007",Kingdom of Thailand,Election for Wuthisapha (Thai Senate),Held
"Dec. 23, 2007",Kingdom of Thailand,Election for Sapha Phuthaen Ratsadon (Thai House of Representatives),Held
"Dec. 23, 2007",Republic of Uzbekistan,Election for President,Held
"Dec. 19, 2007",Republic of Korea,Election for President,Held
"Dec. 18, 2007",Bermuda,Election for Bermudian House of Assembly,Held
"Dec. 16, 2007",Kyrgyz Republic,Election for Jorgorku Kenesh (Kyrgyz Supreme Council),Held
"Dec. 2, 2007",Bolivarian Republic of Venezuela,Referendum,Held
"Dec. 2, 2007",Russian Federation,Election for Gosudarstvennaya Duma (Russian Federal Duma),Held
"Nov. 25, 2007",Republic of Croatia,Election for Hrvatski Sabor (Croatian Assembly),Held
"Nov. 25, 2007",Romania,Referendum,Held
"Nov. 24, 2007",Commonwealth of Australia,Election for Australian House of Representatives,Held
"Nov. 24, 2007",Commonwealth of Australia,Election for Australian Senate,Held
"Nov. 20, 2007",Hashemite Kingdom of Jordan,Election for Majlis al-Nuwaab (Jordanian House of Deputies),Held
"Nov. 19, 2007",Republic of the Marshall Islands,Election for Nitijela (Marshallese Parliament),Held
"Nov. 17, 2007",Republic of Kosovo,Election for Kuvendi i Kosovës/Skupština Kosova (Kosovac Assembly),Held
"Nov. 13, 2007",Kingdom of Denmark,Election for Folketinget (Danish Parliament),Held
"Nov. 11, 2007",Republic of Slovenia,Election for President,Held
"Nov. 5, 2007",Republic of Trinidad and Tobago,Election for Trinidadian House of Representatives,Held
"Nov. 4, 2007",Republic of Guatemala,Election for President,Held
"Oct. 28, 2007",Argentine Republic,Election for Cámara de Diputados (Argentinian Chamber of Deputies),Held
"Oct. 28, 2007",Argentine Republic,Election for Senado (Argentinian Senate),Held
"Oct. 28, 2007",Argentine Republic,Election for President,Held
"Oct. 27, 2007",Sultanate of Oman,Election for Majlis al-Shura (Omani Consultative Assembly),Held
"Oct. 21, 2007",Republic of Poland,Election for Sejm (Polish Sejm),Held
"Oct. 21, 2007",Republic of Slovenia,Election for President,Held
"Oct. 21, 2007",Kyrgyz Republic,Referendum,Held
"Oct. 21, 2007",Republic of Poland,Election for Senat (Polish Senate),Held
"Oct. 21, 2007",Swiss Confederation,Election for Standerat/Conseil des Etats/ Consiglio degli Stati (Swiss Council of States),Held
"Oct. 21, 2007",Swiss Confederation,Election for Nationalrat/Conseil National/Consiglio Nazionale (Swiss National Council),Held
"Oct. 20, 2007",Tokelau,Referendum,Held
"Oct. 17, 2007",Republic of Kiribati,Election for President,Held
"Oct. 14, 2007",Togolese Republic,Election for Assemblée nationale (Togolese National Assembly),Held
"Oct. 11, 2007",Gibraltar,Election for Gibraltarian Parliament,Held
"Oct. 7, 2007",Republic of Costa Rica,Referendum,Held
"Sept. 30, 2007",Ukraine,Election for Verkhovna Rada (Ukrainian Supreme Council),Held
"Sept. 30, 2007",Republic of Ecuador,Election for Congreso Nacional (Ecuadorian National Congress),Held
"Sept. 23, 2007",Republic of Madagascar,Election for Assemblée Nationale (Malagasy National Assembly),Held
"Sept. 16, 2007",Hellenic Republic,Election for Vouli ton Ellinon (Greek Parliament),Held
"Sept. 9, 2007",Republic of Guatemala,Election for President,Held
"Sept. 9, 2007",Republic of Guatemala,Election for Congreso de la Republica (Guatemalan Congress of the Republic),Held
"Sept. 8, 2007",Republic of Sierra Leone,Election for President,Held
"Sept. 7, 2007",Kingdom of Morocco,Election for Majlis al-Nuwab (Moroccan Chamber of Representatives),Held
"Sept. 3, 2007",Jamaica,Election for Jamaican House of Representatives,Held
"Aug. 30, 2007",Republic of Kiribati,Election for Maneaba ni Maungatabu (Kiribati House of Assembly),Held
"Aug. 22, 2007",Republic of Kiribati,Election for Maneaba ni Maungatabu (Kiribati House of Assembly),Held
"Aug. 19, 2007",Kingdom of Thailand,Referendum,Held
"Aug. 18, 2007",Republic of Kazakhstan,Election for Mazhilis (Kazakh House of Representatives),Held
"Aug. 11, 2007",Republic of Sierra Leone,Election for Sierra Leonean Parliament,Held
"Aug. 11, 2007",Republic of Sierra Leone,Election for President,Held
"July 29, 2007",Japan,Election for Sangiin (Japanese House of Councillors),Held
"July 24, 2007",Republic of Albania,Election for President,Held
"July 22, 2007",Republic of Turkey,Election for Türkiye Büyük Millet Meclisi (Grand National Assembly of Turkey),Held
"July 19, 2007",Republic of India,Election for President,Held
"June 30, 2007",Democratic Republic of Timor-Leste,Election for Timorese National Parliament,Held
"June 30, 2007",Independent State of Papua New Guinea,Election for National Parliament of Papua New Guinea,Held
"June 24, 2007",Republic of the Congo,Election for Assemblée Nationale (Congolese National Assembly),Held
"June 17, 2007",French Republic,Election for Assemblée Nationale (National Assembly of France),Held
"June 10, 2007",Kingdom of Belgium,Election for Volksvertegenwoordigers / Chambre des Representants (Belgian Chamber of Representatives),Held
"June 10, 2007",French Republic,Election for Assemblée Nationale (National Assembly of France),Held
"June 10, 2007",Kingdom of Belgium,Election for Senaat / Senat (Belgian Senate),Held
"June 3, 2007",Republic of Senegal,Election for Assemblée Nationale (Senegalese National Assembly),Held
"May 27, 2007",Syrian Arab Republic,Referendum,Held
"May 24, 2007",Ireland,Election for Dáil Éireann (Irish House of Representatives),Held
"May 19, 2007",Romania,Referendum,Held
"May 17, 2007",People's Democratic Republic of Algeria,Election for Al-Majlis Ech-Chaabi Al-Watani (Algerian National People's Assembly),Held
"May 14, 2007",Republic of the Philippines,Election for Kapulungan Ng Mga Kinatawan (Philippine House of Representatives),Held
"May 14, 2007",Republic of the Philippines,Election for Senado (Philippine Senate),Held
"May 12, 2007",Republic of Iceland,Election for Althing (Icelandic Parliament),Held
"May 12, 2007",Republic of Armenia,Election for Azgayin Zhoghov (Armenian National Assembly),Held
"May 10, 2007",Republic of Seychelles,Election for Assemblée Nationale (Seychellois National Assembly),Held
"May 9, 2007",Democratic Republic of Timor-Leste,Election for President,Held
"May 6, 2007",French Republic,Election for President (President of France),Held
"May 6, 2007",Burkina Faso,Election for Assemblée Nationale (Burkinabe National Assembly),Held
"May 3, 2007",Scotland,Election for Pàrlamaid na h-Alba (Scottish Parliament),Held
"May 2, 2007",Commonwealth of the Bahamas,Election for Bahaman House of Assembly,Held
"April 29, 2007",Republic of Mali,Election for President,Held
"April 22, 2007",French Republic,Election for President (President of France),Held
"April 22, 2007",Syrian Arab Republic,Election for Majlis al-Shaab (Syrian People's Council),Held
"April 21, 2007",Federal Republic of Nigeria,Election for Nigerian Senate,Held
"April 21, 2007",Federal Republic of Nigeria,Election for Nigerian House of Representatives,Held
"April 21, 2007",Federal Republic of Nigeria,Election for President,Held
"April 15, 2007",Republic of Ecuador,Referendum,Held
